Instance,Value,,Hill Climbing,,,Annealing,
Atlanta,2003763,,2023790,0.009994695,,2003763,0
Berlin,7542,,8123,0.077035269,,8167,0.082869265
Boston,893536,,918107,0.027498612,,922719,0.032660128
Champaign,52643,,55551,0.055240013,,52988,0.006553578
Cincinnati,277952,,282379,0.01592721,,280733,0.010005325
Denver,100431,,107647,0.071850325,,105329,0.048769802
NYC,1555060,,1622610,0.043438838,,1713230,0.101713117
Philadelphia,1395981,,1409420,0.009626922,,1433660,0.026991055
Roanoke,655454,,688652,0.050648863,,1047480,0.598098417
SanFrancisco,810196,,884083,0.091196451,,876315,0.081608648
Toronto,1176151,,1256230,0.068085645,,1335260,0.135279399
UKansasState,62962,,62962,0,,62962,0
UMissouri,132709,,140420,0.058104575,,138053,0.040268558
